"race","state","modeldate","candidate_name","pct_estimate","pct_trend_adjusted","timestamp","contestdate"
"2020D","National","2/16/2020","Elizabeth Warren",11.77017,NA,"19:16:04 16 Feb 2020",""
"2020D","National","2/16/2020","Bernard Sanders",22.74345,NA,"19:16:04 16 Feb 2020",""
"2020D","National","2/16/2020","Joseph R. Biden Jr.",16.80176,NA,"19:16:04 16 Feb 2020",""
"2020D","National","2/15/2020","Pete Buttigieg",11.21363,NA,"15:56:04 15 Feb 2020",""
"2020D","National","2/15/2020","Tulsi Gabbard",1.524199,NA,"15:56:04 15 Feb 2020",""
"2020D","National","2/15/2020","Tom Steyer",1.921733,NA,"15:56:04 15 Feb 2020",""
"2020D","National","2/15/2020","Amy Klobuchar",4.663634,NA,"15:56:04 15 Feb 2020",""
"2020D","National","2/15/2020","Michael Bloomberg",15.42523,NA,"15:56:04 15 Feb 2020",""
"2020D","National","2/15/2020","Elizabeth Warren",11.77017,NA,"15:56:04 15 Feb 2020",""
"2020D","National","2/15/2020","Bernard Sanders",22.74345,NA,"15:56:04 15 Feb 2020",""
"2020D","National","2/15/2020","Joseph R. Biden Jr.",16.80176,NA,"15:56:04 15 Feb 2020",""
"2020D","National","2/14/2020","Pete Buttigieg",11.21363,NA,"17:31:04 14 Feb 2020",""
"2020D","National","2/14/2020","Tulsi Gabbard",1.524199,NA,"17:31:04 14 Feb 2020",""
"2020D","National","2/14/2020","Tom Steyer",1.921733,NA,"17:31:04 14 Feb 2020",""
"2020D","National","2/14/2020","Amy Klobuchar",4.663634,NA,"17:31:04 14 Feb 2020",""
"2020D","National","2/14/2020","Michael Bloomberg",15.42523,NA,"17:31:04 14 Feb 2020",""
"2020D","National","2/14/2020","Elizabeth Warren",11.77017,NA,"17:31:04 14 Feb 2020",""
"2020D","National","2/14/2020","Bernard Sanders",22.74345,NA,"17:31:04 14 Feb 2020",""
"2020D","National","2/14/2020","Joseph R. Biden Jr.",16.80176,NA,"17:31:04 14 Feb 2020",""
"2020D","National","2/13/2020","Pete Buttigieg",11.19725,NA,"20:06:04 13 Feb 2020",""
"2020D","National","2/13/2020","Tulsi Gabbard",1.529088,NA,"20:06:04 13 Feb 2020",""
"2020D","National","2/13/2020","Tom Steyer",1.923515,NA,"20:06:04 13 Feb 2020",""
"2020D","National","2/13/2020","Amy Klobuchar",4.647203,NA,"20:06:04 13 Feb 2020",""
"2020D","National","2/13/2020","Michael Bloomberg",15.40468,NA,"20:06:04 13 Feb 2020",""
"2020D","National","2/13/2020","Elizabeth Warren",11.80277,NA,"20:06:04 13 Feb 2020",""
"2020D","National","2/13/2020","Bernard Sanders",22.75073,NA,"20:06:04 13 Feb 2020",""
"2020D","National","2/13/2020","Joseph R. Biden Jr.",16.83292,NA,"20:06:04 13 Feb 2020",""
"2020D","National","2/12/2020","Pete Buttigieg",9.595819,NA,"22:59:04 12 Feb 2020",""
"2020D","National","2/12/2020","Tulsi Gabbard",1.574087,NA,"22:59:04 12 Feb 2020",""
"2020D","National","2/12/2020","Tom Steyer",1.861584,NA,"22:59:04 12 Feb 2020",""
"2020D","National","2/12/2020","Deval Patrick",0.3332252,NA,"22:59:04 12 Feb 2020",""
"2020D","National","2/12/2020","Amy Klobuchar",4.292467,NA,"22:59:04 12 Feb 2020",""
"2020D","National","2/12/2020","Michael Bloomberg",13.08333,NA,"22:59:04 12 Feb 2020",""
"2020D","National","2/12/2020","Elizabeth Warren",12.90601,NA,"22:59:04 12 Feb 2020",""
"2020D","National","2/12/2020","Bernard Sanders",22.35405,NA,"22:59:04 12 Feb 2020",""
"2020D","National","2/12/2020","Joseph R. Biden Jr.",20.09559,NA,"22:59:04 12 Feb 2020",""
"2020D","National","2/11/2020","Michael F. Bennet",0.3656029,NA,"11:19:05 11 Feb 2020",""
"2020D","National","2/11/2020","Pete Buttigieg",9.493973,NA,"11:19:05 11 Feb 2020",""
"2020D","National","2/11/2020","Tulsi Gabbard",1.313737,NA,"11:19:05 11 Feb 2020",""
"2020D","National","2/11/2020","Andrew Yang",3.707931,NA,"11:19:05 11 Feb 2020",""
"2020D","National","2/11/2020","Tom Steyer",1.904988,NA,"11:19:05 11 Feb 2020",""
"2020D","National","2/11/2020","Deval Patrick",0.3133285,NA,"11:19:05 11 Feb 2020",""
"2020D","National","2/11/2020","Amy Klobuchar",3.930335,NA,"11:19:05 11 Feb 2020",""
"2020D","National","2/11/2020","Michael Bloomberg",12.61096,NA,"11:19:05 11 Feb 2020",""
"2020D","National","2/11/2020","Elizabeth Warren",13.15673,NA,"11:19:05 11 Feb 2020",""
"2020D","National","2/11/2020","Bernard Sanders",22.55776,NA,"11:19:05 11 Feb 2020",""
"2020D","National","2/11/2020","Joseph R. Biden Jr.",20.49375,NA,"11:19:05 11 Feb 2020",""
"2020D","National","2/10/2020","Michael F. Bennet",0.2922489,NA,"22:28:04 10 Feb 2020",""
"2020D","National","2/10/2020","Pete Buttigieg",9.031947,NA,"22:28:04 10 Feb 2020",""
