"Candidate","Total_Absolute_Sentiment","Percent_Sentiment","Total_Sentiment","Count_Tweets","Percent_Tweets","Average_Sentiment","Average_Absolute_Sentiment","Date"
"biden",1068.77290313086,0.144334039364122,316.277962143621,3434,0.142892809587217,0.0921019109329124,0.311232645058492,"2/28/2020"
"bloomberg",823.869160508135,0.11126064620026,42.3813153321368,2971,0.123626830892144,0.0142650001117929,0.277303655505936,"2/28/2020"
"buttigieg",737.993145338345,0.0996633909576903,403.172775633098,2330,0.0969540612516644,0.173035526022789,0.316735255510019,"2/28/2020"
"klobuchar",370.471067754633,0.050030820878716,92.9262286390609,1143,0.0475615845539281,0.0813002875232379,0.324121669076669,"2/28/2020"
"sanders",2022.44390552126,0.273123969943587,425.473393620365,6930,0.2883655126498,0.0613958720952907,0.291838947405665,"2/28/2020"
"steyer",170.871346244384,0.0230755771808875,48.981516832197,544,0.0226364846870839,0.0900395530003621,0.314101739419824,"2/28/2020"
"warren",2210.43534268432,0.298511555474738,1105.34137604826,6680,0.277962716378162,0.165470265875489,0.33090349441382,"2/28/2020"
"biden",1015.10245114502,0.164264026313609,300.978335122849,3372,0.161920768307323,0.089258106501438,0.301038686579188,"2/29/2020"
"bloomberg",609.989669731768,0.0987086170926148,1.9350612087505,2032,0.0975750300120048,0.000952293901944143,0.300191766600279,"2/29/2020"
"buttigieg",639.679198213884,0.103512980910596,379.142748649262,2062,0.099015606242497,0.183871362099545,0.310222695545046,"2/29/2020"
"klobuchar",221.448572906623,0.0358348402823903,101.012928708222,780,0.0374549819927971,0.129503754754131,0.283908426803363,"2/29/2020"
"sanders",1806.86157975424,0.292386603684201,461.849839049323,6346,0.304729891956783,0.0727781025920774,0.284724484676055,"2/29/2020"
"steyer",355.891024556979,0.0575903373661078,75.7572722613637,1255,0.0602641056422569,0.0603643603676205,0.283578505623091,"2/29/2020"
"warren",1530.72779428957,0.247702594350481,734.020182186974,4978,0.239039615846339,0.147452828884487,0.307498552488865,"2/29/2020"
"biden",5249.10906951727,0.295902921674986,2340.50189071564,16697,0.293925044448748,0.140174994952126,0.314374382794351,"3/03/2020"
"bloomberg",1352.91206777945,0.0762663965109992,52.0157249389842,4521,0.0795852623796363,0.0115053583143075,0.299250623264643,"3/03/2020"
"sanders",4969.1558293159,0.280121389873899,1927.72751296295,17017,0.299558153044519,0.113282453603041,0.292011272804601,"3/03/2020"
"warren",6168.11752836633,0.347709291940116,3820.02342424044,18572,0.326931540127097,0.205687240159403,0.332119186321685,"3/03/2020"
"biden",1399.28959020787,0.119013020179391,129.7131419798,5121,0.128836671027473,0.0253296508454989,0.273245379849223,"2/04/2020"
"bloomberg",680.694156512881,0.0578947116822517,144.696995164562,2408,0.0605816644862635,0.0600901142709976,0.282680297555183,"2/04/2020"
"buttigieg",3173.83157358478,0.269942179057388,1300.45268175134,10048,0.25279259333803,0.129424032817609,0.31586699577874,"2/04/2020"
"klobuchar",875.630642201929,0.0744745390942198,454.471811936484,2773,0.069764516453658,0.163891746100427,0.315770155860775,"2/04/2020"
"sanders",2903.90635821142,0.24698437580568,532.150376053862,10397,0.261572909328771,0.0511830697368339,0.279302333193365,"2/04/2020"
"steyer",98.5773992212695,0.00838425018298746,33.8234827948117,348,0.00875515749220086,0.0971939160770452,0.283268388566866,"2/04/2020"
"warren",1535.38706524826,0.130588445064057,726.287993556306,5059,0.127276844117943,0.143563548835008,0.30349615838076,"2/04/2020"
"yang",1090.13284594182,0.0927184789340258,485.91509784094,3594,0.0904196437556607,0.135201752320796,0.303320213116811,"2/04/2020"
"biden",8901.35100152638,0.419050536123846,3591.30263050906,28330,0.417760344471643,0.126766771285177,0.314202294441454,"3/04/2020"
"sanders",5916.61658528927,0.278537645766306,1545.89059974858,20390,0.30067537676586,0.0758161157306805,0.290172466174069,"3/04/2020"
"warren",6423.74488982864,0.302411818109848,2155.06366147194,19094,0.281564278762497,0.112866013484442,0.336427405982437,"3/04/2020"
"biden",675.905181862517,0.113188592979292,28.8168203989345,2329,0.121012158370571,0.0123730443962793,0.290212615655868,"2/05/2020"
"bloomberg",553.681529182795,0.092720746827431,182.897887075086,1861,0.0966954172295542,0.0982793589871498,0.297518285428692,"2/05/2020"
"buttigieg",1686.98921325646,0.282506985511735,819.341067541456,4947,0.257040423984205,0.165623826064576,0.34101257595643,"2/05/2020"
"klobuchar",204.543950822957,0.0342533873350082,64.8467307168387,672,0.034916346253767,0.0964981111857719,0.304380879200829,"2/05/2020"
"sanders",1429.76737240254,0.239432040932127,349.453936062449,4898,0.254494440403201,0.0713462507273273,0.291908405962136,"2/05/2020"
"steyer",99.5352619955671,0.0166683975199868,29.4440210075769,335,0.0174062142782916,0.0878926000226177,0.297120185061394,"2/05/2020"
